eMAS_file,Background_AOD,Ave_Aeronet_AOD
/Users/rsspenc3/Desktop/SEAC4RS/DATA/eMAS_Data/Sept/Emas_11Sept/eMASL2AER_13964_14_20130911_2010_2023_20160628_0952.hdf,0.417336415606,0.291040256
/Users/rsspenc3/Desktop/SEAC4RS/DATA/eMAS_Data/Sept/Emas_13Sept/eMASL2AER_13965_30_20130913_2220_2250_20160628_1004.hdf,0.0909952209225,0.152431445
/Users/rsspenc3/Desktop/SEAC4RS/DATA/eMAS_Data/Sept/Emas_13Sept/eMASL2AER_13965_31_20130913_2251_2253_20160628_1005.hdf,0.278623157573,0.177704275
/Users/rsspenc3/Desktop/SEAC4RS/DATA/eMAS_Data/Sept/Emas_18Sept/eMASL2AER_13967_22_20130918_1955_2009_20160628_1020.hdf,0.2403106184,0.107963126
/Users/rsspenc3/Desktop/SEAC4RS/DATA/eMAS_Data/Sept/Emas_18Sept/eMASL2AER_13967_23_20130918_2013_2028_20160628_1020.hdf,0.21572353157,0.125904404
/Users/rsspenc3/Desktop/SEAC4RS/DATA/eMAS_Data/Sept/Emas_18Sept/eMASL2AER_13967_24_20130918_2032_2045_20160628_1021.hdf,0.30254977893,0.116501986
/Users/rsspenc3/Desktop/SEAC4RS/DATA/eMAS_Data/Sept/Emas_18Sept/eMASL2AER_13967_25_20130918_2049_2101_20160628_1021.hdf,0.214004413504,0.0918416732
/Users/rsspenc3/Desktop/SEAC4RS/DATA/eMAS_Data/Sept/Emas_22Sept/eMASL2AER_13968_24_20130922_1905_1929_20160628_1028.hdf,0.00297377466955,0.042165036
/Users/rsspenc3/Desktop/SEAC4RS/DATA/eMAS_Data/Sept/Emas_23Sept/eMASL2AER_13969_02_20130923_1556_1606_20160628_1029.hdf,0.272979144631,0.067756586
/Users/rsspenc3/Desktop/SEAC4RS/DATA/eMAS_Data/Sept/Emas_23Sept/eMASL2AER_13969_20_20130923_2204_2217_20160628_1037.hdf,0.0489970304644,0.02478498
