eMAS_ID,COD_sect_ave,COD_sect_std,COD_sect_n,Height_sect_ave,Height_sect_std,Height_sect_n,Phase_sect_ave,Phase_sect_std,Phase_sect_n,Phase_sect_mode,Phase_sect_mode_perc,Temp_sect_ave,Temp_sect_std,Temp_sect_n,background_aod,near_cloud_aod,background_aod_sect,near_cloud_aod_sect,solar_zen
13961_01,49.010629330254055,59.78632202163093,3464,0.85639676991030544,0.63965370742090555,36903,2.0,0.0,34773,2.0,1.0,295.19804396680411,3.8688860620534937,36903,0.060127757923750462,0.081263991026239116,0.05548804798229344,0.067983610634105129,70.566496407134821
13961_01,69.300831855993451,66.109475525460212,7333,0.98800839517869365,0.72643516580378531,37998,2.0,0.0,36578,2.0,1.0,294.50533475104709,4.3627514272038788,37998,0.060127757923750462,0.081263991026239116,0.063189736042911129,0.080012351053323161,70.566496407134821
13961_01,72.854674030343432,65.531349375529146,15753,1.2927121899753824,0.97115649531038517,59713,2.000806271765049,0.039934180065872654,58293,2.0,0.99958828675827283,292.61315759469915,5.8762921730419349,59713,0.060127757923750462,0.081263991026239116,0.062463857520018984,0.090878270762222518,70.566496407134821
13961_01,51.125248027057502,57.119956659991189,1774,0.6915972093023256,0.47660030287543942,22575,2.0,0.0,21155,2.0,1.0,295.96047489085856,3.4091524687741543,22575,0.060127757923750462,0.081263991026239116,0.10224960769650376,0.1115010690390677,70.566496407134821
13961_04,45.200443987036877,63.677760285582657,114170,7.8135963866273324,4.8796178924392084,338631,2.4297461225969612,0.56778313157223703,336501,2.0,0.6089105232971076,250.89932634916707,31.595202802801033,338631,0.082294195642865664,0.13410600095871697,0.076875736201237901,0.10696954340599474,60.635985113416766
13961_04,52.919176376202834,58.756132589233033,216883,9.4090721800566097,2.5745818969268792,487891,2.7897181949180938,0.42452134656573687,486471,3.0,0.77556318876150887,242.12944735509896,16.69858958804252,487891,0.082294195642865664,0.13410600095871697,0.083906277260708831,0.19588617478076442,60.635985113416766
13961_04,56.018095273670951,65.162110615733624,254320,6.4030811536771601,4.4374789482592352,482492,2.3561005421225927,0.4886725675819677,481072,2.0,0.6486534240196894,260.36952070093452,28.551164365886169,482492,0.082294195642865664,0.13410600095871697,0.32363014330930617,0.36454181863664237,60.635985113416766
13961_04,46.128696349522052,61.49026581562071,46761,1.5803959904941103,2.898864712691906,173787,2.0144111111755731,0.13109325065611521,172367,2.0,0.98707989348309133,290.33902611930029,18.917151496072815,173787,0.082294195642865664,0.13410600095871697,0.096699724908870882,0.16652268022844696,60.635985113416766
13961_04,3.0697679602664563,7.4070617504739751,153422,4.0514408745267492,4.6666288981729735,280243,2.0778163924783821,0.38654366028549719,278823,2.0,0.96101110740505624,274.83361335863657,29.911831740141466,280243,0.082294195642865664,0.13410600095871697,0.12406174839167308,0.13577834473756167,60.635985113416766
13961_10,2.0859248244088326,1.5052154661941723,75317,9.372202234785755,4.5095512727025246,210132,2.45447794089463,0.58993847221118167,208712,2.0,0.59557188853539811,240.186939789685,28.805264833565783,210132,0.1007924248805096,0.15023925672140817,0.098595434805386878,0.13035678755243665,30.848980858972482
13961_10,9.9038320466754417,11.532351180317482,56218,6.4135266333859979,5.5611604631515617,150638,2.389001326917664,0.5185124473681253,149218,2.0,0.62658660483319706,259.22874365811538,35.606193347524545,150638,0.1007924248805096,0.15023925672140817,0.05534703126940653,0.10772321658428521,30.848980858972482
13961_10,65.230324436692072,57.94103820575679,209255,8.4559985893615632,4.2086893696993846,315460,2.6781301745000636,0.47419527405572087,314040,3.0,0.67153865749586039,247.43049301130941,26.936292311484671,315460,0.1007924248805096,0.15023925672140817,0.19620655447221388,0.28970447715048353,30.848980858972482
13961_10,12.424818776416144,11.828965794101563,42351,1.063185993308146,0.84396569513884878,134193,2.0001054431247316,0.014521540249257881,132773,2.0,0.9999472784376342,293.42574851061465,5.4967846117695558,134193,0.1007924248805096,0.15023925672140817,0.1786018666167738,0.22347484147308916,30.848980858972482
13961_10,11.76770562931558,23.257869192920865,80667,7.6853279362321851,4.6648400383681556,364949,2.1871129951118067,0.5115174154617862,363529,2.0,0.86766117696249823,251.85534144648702,29.844944316187885,364949,0.1007924248805096,0.15023925672140817,0.22559933001323859,0.26226864892563106,30.848980858972482
13961_10,2.4724600926499676,1.4477403174551522,67782,7.4782009282592767,4.912999237286229,313490,2.2058160028198803,0.4446037088889071,312070,2.0,0.81129233825744229,252.94584722828927,31.201156283917612,313490,0.1007924248805096,0.15023925672140817,0.18838052967546254,0.20877257420202014,30.848980858972482
13961_22,2.5226663531367581,3.0920754434610811,91432,9.9728326283027044,4.9096242174891724,220085,2.4336862323645758,0.53559494493605531,218665,2.0,0.5869434980449546,235.67185755804994,31.956269700993598,220085,0.10885121746719671,0.13293036590117241,0.10517653754709065,0.12379143990022934,31.910839521186553
13961_22,8.3330702156952707,6.1598751522164417,4358,0.52393304081632674,0.36384333187392726,49000,2.0,0.0,47580,2.0,1.0,297.15778723555673,2.8664309662170808,49000,0.10885121746719671,0.13293036590117241,0.098963536079272496,0.11808050303281997,31.910839521186553
13961_22,7.8035350358535647,12.005535421127821,15898,3.6204875915495669,4.8514007142991815,52021,2.0199205549297443,0.19810768990098676,50601,2.0,0.98994091025869058,277.31881677677814,31.120387016875224,52021,0.10885121746719671,0.13293036590117241,0.10581305681433119,0.12553854201310388,31.910839521186553
13961_22,22.120226730886174,34.409749433514861,103603,5.2475381196254851,4.4291307288541519,240952,2.3702177579613579,0.58412377868234366,239532,2.0,0.68380425162400016,267.92599964736434,27.59326630188917,240952,0.10885121746719671,0.13293036590117241,0.16117763971307567,0.20737941683877584,31.910839521186553
13961_22,10.386887852082253,9.3506380019630768,11574,1.4926972591498433,2.6028814094265846,60930,2.0304318601915643,0.23519470695507877,59510,2.0,0.98247353385985547,290.85057170347994,16.679448861813899,60930,0.10885121746719671,0.13293036590117241,0.12939375181845661,0.15002418889515404,31.910839521186553
13961_22,4.7922377207763827,5.6042631326826404,64092,6.5906479366368309,5.7235428883384989,169941,2.185288480367432,0.57972831771185496,168521,2.0,0.90727565110579689,257.78291742909249,36.972751798061765,169941,0.10885121746719671,0.13293036590117241,0.17799001973119438,0.18060212878317192,31.910839521186553
13961_22,4.0216763285024149,3.3677923161951107,28980,6.7470611011215507,6.008598574694358,142927,2.1730939105485949,0.50291354166935764,141507,2.0,0.88180090030881864,257.17670851837619,38.577677689013242,142927,0.10885121746719671,0.13293036590117241,0.11361531285960347,0.13783348510303506,31.910839521186553
13954_01,4.2729365079365076,2.023765650629334,630,0.58747715816005019,0.36192453218257886,6348,2.0,0.0,4218,2.0,1.0,297.49931754696928,2.2441612392757899,6348,0.27010696016816627,0.29240535116400385,0.27663947951592194,0.29271464230471184,55.190947794018676
13954_13,5.2325284588441328,1.9849033939787279,4568,1.3866437571142591,1.1089252470150657,25477,2.0,0.0,23347,2.0,1.0,313.75817095139672,7.5458268241424831,25477,0.19842610017014095,0.23496542483880423,0.21438821139186429,0.22266620065588588,36.58187723541635
13954_13,4.8173108565897733,2.072093410954988,6199,0.92104026291338315,1.0139145921265091,29059,2.0,0.0,27639,2.0,1.0,315.96503922277486,6.861259441721077,29059,0.19842610017014095,0.23496542483880423,0.24591889349708559,0.2855600127537537,36.58187723541635
13954_19,11.114008023340627,7.1444835939962053,2742,6.5524539835936633,3.8602284017134876,8899,2.2371103560348646,0.56232715583650394,6769,2.0,0.83055104151277881,268.26477881109651,35.281189147810444,8899,0.35499984429292081,0.24356503181245739,0.14720282731119036,0.12086959165785453,24.340688268061943
13954_19,25.871143928668261,26.073499433036581,66394,9.3220298761917348,3.6691731866833006,120832,2.1681573041235387,0.48108810212944653,119412,2.0,0.87762536428499649,242.68118383015485,24.694661640925816,120832,0.35499984429292081,0.24356503181245739,0.013516568462053374,0.060103331629112119,24.340688268061943
13954_19,26.126808945539839,30.100237749331221,182482,9.2096178339860053,3.0887578550064725,264809,2.491747946952986,0.67915147569792389,263389,2.0,0.61390946470809338,243.00584282128773,21.023589824308353,264809,0.35499984429292081,0.24356503181245739,0.25075940044177919,0.2578110914990242,24.340688268061943
13954_25,5.1677860366339248,2.0290712177696966,3767,0.42809603658536588,0.19238281854415878,20336,2.0001098538943207,0.014822136174081317,18206,2.0,0.99994507305283975,304.33232059732768,2.2708560777242255,20336,0.045545792389636887,0.091852264349686713,0.045891005770849508,0.046045250615816068,32.371291445044072
13954_25,3.2029411881360907,1.7322556375609093,252126,13.353839243075454,2.244423438421038,335040,2.7800911216353934,0.53757600954554641,333620,3.0,0.66265211917750733,216.02517276219646,13.977544397958923,335040,0.045545792389636887,0.091852264349686713,0.15961032280182499,0.23389594524324078,32.371291445044072
13949_05,1.757783031001908,0.79951511457941238,112735,10.547614843578607,2.9609723627326239,227910,2.9442820444680664,0.44197887714079792,225780,3.0,0.80155018159270086,232.72317372851103,20.117648575130115,227910,0.075182880210958924,0.092672672988446073,0.010214548537928192,0.065323001584651236,20.477580594883172
13949_05,1.2088018085908054,0.34473232068976833,13270,12.373187965578186,3.502099744265224,60543,2.89990359081914,0.44002722764862195,59123,3.0,0.79635674779696564,221.82110103269534,22.836489138169533,60543,0.075182880210958924,0.092672672988446073,-0.023541180560421281,0.013079669013966976,20.477580594883172
13949_05,1.3269177018633542,0.4251698570050465,11592,14.053683105811253,3.0359794595355192,55599,2.8393288912678343,0.42730150257862909,54179,3.0,0.79159822071282226,212.25539373411203,20.737957351695769,55599,0.075182880210958924,0.092672672988446073,0.12263905523697877,0.1805200511354153,20.477580594883172
13949_05,1.7361847967646855,0.53346642937424571,14589,13.265106359254732,3.6599119217393934,27802,2.9865059510272154,0.17535133392784763,26382,3.0,0.96906982033204458,216.96772876667984,26.904653039264897,27802,0.075182880210958924,0.092672672988446073,0.10500661326903027,0.20515653332604444,20.477580594883172
13949_14,6.9262457039191219,4.2030576070858796,109693,0.4331435694524865,0.21106537132067121,186516,2.0,0.0,184386,2.0,1.0,284.50181321668924,1.3677766547568522,186516,0.099606336570454757,0.12349511538691886,0.098665231458887448,0.11940650830185873,27.876022205833319
